name,description,category,primary_muscle,secondary_muscle,tertiary_muscle,equipment_needed,difficulty_level,instructions
"Machine Row","Generic rowing machine","Machine","Lats","Rhomboids","Rear Delts","Rowing Machine","Beginner","Sit at machine, row handles to body"
"Hammer Strength Row","Plate-loaded rowing machine","Machine","Lats","Rhomboids","Rear Delts","Hammer Strength Machine","Intermediate","Sit at machine, row handles alternately"
"Lever Row","Lever-based rowing machine","Machine","Lats","Rhomboids","Rear Delts","Lever Row Machine","Beginner","Sit at machine, pull lever to chest"
"Cable One-Arm Row","Single arm row with cable","Machine","Lats","Rhomboids","Rear Delts","Cable Machine","Beginner","Single arm rowing motion with cable"
"Machine Chest Fly","Chest fly on machine","Machine","Chest","Shoulders","None","Chest Fly Machine","Beginner","Sit in machine, bring handles together"
"Incline Machine Fly","Incline chest fly machine","Machine","Upper Chest","Shoulders","None","Incline Fly Machine","Beginner","Sit in inclined machine, bring handles together"
"Decline Machine Fly","Decline chest fly machine","Machine","Lower Chest","Shoulders","None","Decline Fly Machine","Beginner","Sit in declined machine, bring handles together"
"Cable Crossover","Cable chest crossover","Machine","Chest","Shoulders","None","Cable Machine","Intermediate","Cross cables at chest level"
"High Cable Crossover","High cable chest crossover","Machine","Lower Chest","Shoulders","None","Cable Machine","Intermediate","Pull cables down and across"
"Low Cable Crossover","Low cable chest crossover","Machine","Upper Chest","Shoulders","None","Cable Machine","Intermediate","Pull cables up and across"
"Machine Tricep Dip","Tricep dip on machine","Machine","Triceps","Chest","Shoulders","Tricep Dip Machine","Beginner","Sit in machine, perform dips"
"Cable Tricep Kickback","Tricep kickback with cable","Machine","Triceps","None","None","Cable Machine","Beginner","Bend over, extend cable back"
"Cable Overhead Tricep Press","Overhead tricep press with cable","Machine","Triceps","None","None","Cable Machine","Intermediate","Press cable overhead from behind head"
"Rope Tricep Pushdown","Tricep pushdown with rope","Machine","Triceps","None","None","Cable Machine","Beginner","Push rope down separating at bottom"
"V-Bar Tricep Pushdown","Tricep pushdown with V-bar","Machine","Triceps","None","None","Cable Machine","Beginner","Push V-bar down with both hands"
"Straight Bar Tricep Pushdown","Tricep pushdown with straight bar","Machine","Triceps","None","None","Cable Machine","Beginner","Push straight bar down"
"Reverse Grip Tricep Pushdown","Underhand tricep pushdown","Machine","Triceps","None","None","Cable Machine","Beginner","Push bar down with underhand grip"
"Machine Tricep Extension","Tricep extension machine","Machine","Triceps","None","None","Tricep Extension Machine","Beginner","Sit in machine, extend arms"
"Bodyweight Squat","Basic squatting movement","Bodyweight","Quadriceps","Glutes","Hamstrings","None","Beginner","Squat down keeping chest up, drive through heels"
"Push-Up","Classic upper body exercise","Bodyweight","Chest","Triceps","Shoulders","None","Beginner","Lower chest to floor, push back up"
"Pull-Up","Vertical pulling exercise","Bodyweight","Lats","Biceps","Rhomboids","Pull-up Bar","Advanced","Hang from bar, pull body up"
"Dip","Tricep and chest exercise","Bodyweight","Triceps","Chest","Shoulders","Dip Bars","Intermediate","Lower body between bars, push back up"
"Lunge","Single-leg exercise","Bodyweight","Quadriceps","Glutes","Calves","None","Beginner","Step forward into lunge, return to start"
"Plank","Core stability exercise","Bodyweight","Core","Shoulders","None","None","Beginner","Hold straight body position on forearms"
"Burpee","Full-body explosive movement","Bodyweight","Quadriceps","Chest","Shoulders","None","Advanced","Squat, jump back, push-up, jump forward, jump up"
"Mountain Climber","Dynamic core exercise","Bodyweight","Core","Shoulders","Hip Flexors","None","Intermediate","Plank position, alternate bringing knees to chest"
"Jumping Jack","Cardiovascular exercise","Bodyweight","Calves","Shoulders","Hip Abductors","None","Beginner","Jump feet apart while raising arms overhead"
"High Knees","Dynamic leg exercise","Bodyweight","Hip Flexors","Quadriceps","Calves","None","Beginner","Run in place bringing knees high"
"Butt Kicks","Dynamic hamstring exercise","Bodyweight","Hamstrings","Calves","None","None","Beginner","Run in place kicking heels to glutes"
"Jump Squat","Explosive squat movement","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Squat down, explode up jumping"
"Single-Leg Squat","Unilateral squat exercise","Bodyweight","Quadriceps","Glutes","Core","None","Advanced","Squat on one leg, other leg extended"
"Pistol Squat","Advanced single-leg squat","Bodyweight","Quadriceps","Glutes","Core","None","Advanced","Full range single-leg squat"
"Wall Sit","Isometric squat exercise","Bodyweight","Quadriceps","Glutes","None","Wall","Beginner","Sit against wall in squat position"
"Calf Raise","Standing calf exercise","Bodyweight","Calves","None","None","None","Beginner","Rise up on toes, lower slowly"
"Single-Leg Calf Raise","Unilateral calf exercise","Bodyweight","Calves","Core","None","None","Intermediate","Calf raise on one leg"
"Glute Bridge","Hip extension exercise","Bodyweight","Glutes","Hamstrings","Core","None","Beginner","Lie on back, bridge hips up"
"Single-Leg Glute Bridge","Unilateral glute exercise","Bodyweight","Glutes","Hamstrings","Core","None","Intermediate","Bridge on one leg"
"Hip Thrust","Glute exercise against bench","Bodyweight","Glutes","Hamstrings","Core","Bench","Intermediate","Back against bench, thrust hips up"
"Reverse Lunge","Backward stepping lunge","Bodyweight","Quadriceps","Glutes","Hamstrings","None","Beginner","Step back into lunge"
"Side Lunge","Lateral lunge movement","Bodyweight","Quadriceps","Glutes","Adductors","None","Beginner","Step to side into lunge"
"Curtsy Lunge","Cross-behind lunge","Bodyweight","Quadriceps","Glutes","Adductors","None","Intermediate","Step back and across"
"Walking Lunge","Dynamic lunge movement","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Lunge forward alternating legs"
"Jump Lunge","Explosive lunge variation","Bodyweight","Quadriceps","Glutes","Calves","None","Advanced","Switch legs mid-air in lunge position"
"Step-Up","Single-leg step exercise","Bodyweight","Quadriceps","Glutes","Calves","Platform","Beginner","Step up onto platform"
"Box Jump","Explosive jumping exercise","Bodyweight","Quadriceps","Glutes","Calves","Box","Advanced","Jump up onto box"
"Broad Jump","Horizontal jumping exercise","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Jump forward as far as possible"
"Vertical Jump","Vertical jumping exercise","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Jump straight up as high as possible"
"Tuck Jump","Knee-to-chest jump","Bodyweight","Quadriceps","Hip Flexors","Calves","None","Advanced","Jump bringing knees to chest"
"Star Jump","Explosive jumping jack variation","Bodyweight","Quadriceps","Shoulders","Hip Abductors","None","Intermediate","Jump spreading arms and legs wide"
"Squat Jump","Explosive squat variation","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Jump from squat position"
"Split Jump","Alternating lunge jump","Bodyweight","Quadriceps","Glutes","Calves","None","Advanced","Jump switching lunge positions"
"Lateral Bound","Side-to-side jumping","Bodyweight","Quadriceps","Glutes","Hip Abductors","None","Advanced","Jump laterally from leg to leg"
"Single-Leg Hop","Unilateral hopping exercise","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Hop on one leg"
"Diamond Push-Up","Tricep-focused push-up","Bodyweight","Triceps","Chest","Shoulders","None","Advanced","Push-up with hands in diamond shape"
"Wide Push-Up","Chest-focused push-up","Bodyweight","Chest","Shoulders","Triceps","None","Intermediate","Push-up with wide hand placement"
"Decline Push-Up","Elevated feet push-up","Bodyweight","Upper Chest","Shoulders","Triceps","Platform","Advanced","Push-up with feet elevated"
"Incline Push-Up","Elevated hands push-up","Bodyweight","Lower Chest","Triceps","Shoulders","Platform","Beginner","Push-up with hands elevated"
"Pike Push-Up","Shoulder-focused push-up","Bodyweight","Shoulders","Triceps","Upper Chest","None","Advanced","Push-up in pike position"
"Hindu Push-Up","Dynamic push-up variation","Bodyweight","Chest","Shoulders","Triceps","None","Advanced","Flow from plank to downward dog"
"Archer Push-Up","Single-arm focused push-up","Bodyweight","Chest","Triceps","Shoulders","None","Advanced","Push-up shifting weight to one arm"
"One-Arm Push-Up","Single-arm push-up","Bodyweight","Chest","Triceps","Core","None","Advanced","Push-up using only one arm"
"Clapping Push-Up","Explosive push-up","Bodyweight","Chest","Triceps","Shoulders","None","Advanced","Push-up with explosive clap"
"Spiderman Push-Up","Push-up with knee drive","Bodyweight","Chest","Core","Hip Flexors","None","Advanced","Push-up bringing knee to elbow"
"T-Push-Up","Push-up with rotation","Bodyweight","Chest","Core","Shoulders","None","Advanced","Push-up rotating to T position"
"Staggered Push-Up","Uneven hand placement push-up","Bodyweight","Chest","Triceps","Shoulders","None","Intermediate","Push-up with hands at different levels"
"Pseudo Planche Push-Up","Advanced strength push-up","Bodyweight","Chest","Shoulders","Triceps","None","Advanced","Push-up with hands by ribs"
"Handstand Push-Up","Inverted shoulder press","Bodyweight","Shoulders","Triceps","Upper Chest","Wall","Advanced","Press up from handstand position"
"Chin-Up","Underhand pull-up","Bodyweight","Biceps","Lats","Rhomboids","Pull-up Bar","Advanced","Pull up with underhand grip"
"Wide-Grip Pull-Up","Wide grip vertical pull","Bodyweight","Lats","Biceps","Rhomboids","Pull-up Bar","Advanced","Pull up with wide grip"
"Close-Grip Pull-Up","Narrow grip pull-up","Bodyweight","Biceps","Lats","Rhomboids","Pull-up Bar","Advanced","Pull up with close grip"
"Neutral Grip Pull-Up","Parallel grip pull-up","Bodyweight","Biceps","Lats","Brachialis","Pull-up Bar","Advanced","Pull up with palms facing each other"
"Commando Pull-Up","Alternating side pull-up","Bodyweight","Lats","Biceps","Core","Pull-up Bar","Advanced","Pull up alternating sides of bar"
"L-Sit Pull-Up","Pull-up holding L-sit","Bodyweight","Lats","Core","Hip Flexors","Pull-up Bar","Advanced","Pull up while holding legs horizontal"
"Muscle-Up","Pull-up to dip transition","Bodyweight","Lats","Triceps","Shoulders","Pull-up Bar","Advanced","Pull up and transition to dip"
"Typewriter Pull-Up","Side-to-side pull-up","Bodyweight","Lats","Biceps","Rhomboids","Pull-up Bar","Advanced","Pull up shifting side to side"
"One-Arm Pull-Up","Single-arm vertical pull","Bodyweight","Lats","Biceps","Core","Pull-up Bar","Advanced","Pull up using one arm"
"Archer Pull-Up","Single-arm focused pull-up","Bodyweight","Lats","Biceps","Rhomboids","Pull-up Bar","Advanced","Pull up focusing on one arm"
"Australian Pull-Up","Inverted row","Bodyweight","Lats","Rhomboids","Rear Delts","Bar","Intermediate","Pull body up from under bar"
"Inverted Row","Horizontal bodyweight pull","Bodyweight","Lats","Rhomboids","Rear Delts","Bar","Intermediate","Pull chest to bar from underneath"
"Ring Row","Row using suspension rings","Bodyweight","Lats","Rhomboids","Rear Delts","Rings","Intermediate","Row using gymnastic rings"
"TRX Row","Suspension trainer row","Bodyweight","Lats","Rhomboids","Rear Delts","TRX","Intermediate","Row using TRX straps"
"Tricep Dip","Parallel bar dip","Bodyweight","Triceps","Chest","Shoulders","Dip Bars","Intermediate","Lower between bars, push up"
"Bench Dip","Dip using bench","Bodyweight","Triceps","Chest","Shoulders","Bench","Beginner","Dip with hands on bench behind you"
"Chair Dip","Dip using chair","Bodyweight","Triceps","Chest","Shoulders","Chair","Beginner","Dip with hands on chair"
"Ring Dip","Dip using gymnastic rings","Bodyweight","Triceps","Chest","Core","Rings","Advanced","Dip using unstable rings"
"Korean Dip","Deep dip variation","Bodyweight","Triceps","Chest","Shoulders","Dip Bars","Advanced","Dip with deeper range of motion"
"Straight Bar Dip","Dip on single bar","Bodyweight","Triceps","Chest","Shoulders","Straight Bar","Advanced","Dip supporting body on single bar"
"Russian Dip","Dip with forward lean","Bodyweight","Triceps","Chest","Shoulders","Dip Bars","Advanced","Dip leaning forward"
"Weighted Dip","Dip with added weight","Bodyweight","Triceps","Chest","Shoulders","Dip Belt","Advanced","Dip with weight belt"
"L-Sit","Core isometric hold","Bodyweight","Core","Hip Flexors","None","Parallel Bars","Advanced","Hold body with legs horizontal"
"V-Sit","Core strengthening hold","Bodyweight","Core","Hip Flexors","None","None","Advanced","Balance on tailbone with legs up"
"Hollow Body Hold","Core stability exercise","Bodyweight","Core","Hip Flexors","None","None","Intermediate","Hold hollow position on back"
"Dead Bug","Core stability exercise","Bodyweight","Core","Hip Flexors","None","None","Beginner","Lie on back, opposite arm and leg movements"
"Bird Dog","Core and stability exercise","Bodyweight","Core","Glutes","Shoulders","None","Beginner","On hands and knees, extend opposite limbs"
"Superman","Lower back strengthening","Bodyweight","Lower Back","Glutes","Rear Delts","None","Beginner","Lie face down, lift chest and legs"
"Reverse Plank","Posterior chain plank","Bodyweight","Glutes","Hamstrings","Rear Delts","None","Intermediate","Plank facing up"
"Side Plank","Lateral core stability","Bodyweight","Core","Obliques","Shoulders","None","Intermediate","Plank on side"
"Plank Up-Down","Dynamic plank variation","Bodyweight","Core","Shoulders","Triceps","None","Intermediate","Move from plank to forearm plank"
"Plank Jack","Plank with jumping feet","Bodyweight","Core","Shoulders","Hip Abductors","None","Advanced","Jump feet apart and together in plank"
"Plank to Pike","Dynamic plank movement","Bodyweight","Core","Shoulders","Hip Flexors","None","Intermediate","Move from plank to pike position"
"Bear Crawl","Quadrupedal movement","Bodyweight","Core","Shoulders","Quadriceps","None","Intermediate","Crawl on hands and feet"
"Crab Walk","Reverse quadrupedal movement","Bodyweight","Glutes","Triceps","Rear Delts","None","Intermediate","Walk on hands and feet facing up"
"Duck Walk","Low squat walking","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Walk in deep squat position"
"Frog Jump","Explosive forward jumping","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Jump forward in squat position"
"Lizard Crawl","Low crawling movement","Bodyweight","Core","Shoulders","Hip Flexors","None","Advanced","Crawl with body low to ground"
"Shrimp Squat","Advanced single-leg squat","Bodyweight","Quadriceps","Glutes","Core","None","Advanced","Single-leg squat holding other leg"
"Dragon Squat","Single-leg squat variation","Bodyweight","Quadriceps","Glutes","Core","None","Advanced","Single-leg squat with leg behind"
"Cossack Squat","Lateral single-leg squat","Bodyweight","Quadriceps","Glutes","Adductors","None","Advanced","Deep lateral squat"
"Archer Squat","Single-leg focused squat","Bodyweight","Quadriceus","Glutes","Adductors","None","Advanced","Squat shifting weight to one leg"
"Shrimp Pistol Squat","Combined advanced squat","Bodyweight","Quadriceps","Glutes","Core","None","Advanced","Single-leg squat holding foot behind"
"Wall Handstand","Inverted hold against wall","Bodyweight","Shoulders","Core","None","Wall","Advanced","Hold handstand against wall"
"Freestanding Handstand","Inverted hold without support","Bodyweight","Shoulders","Core","Forearms","None","Advanced","Hold handstand without support"
"Crow Pose","Arm balancing pose","Bodyweight","Shoulders","Core","Triceps","None","Advanced","Balance on hands with knees on arms"
"Front Lever","Advanced pulling hold","Bodyweight","Lats","Core","Rear Delts","Pull-up Bar","Advanced","Hold body horizontal from bar"
"Back Lever","Advanced pushing hold","Bodyweight","Chest","Shoulders","Core","Rings","Advanced","Hold body horizontal behind rings"
"Human Flag","Lateral strength hold","Bodyweight","Core","Lats","Obliques","Vertical Pole","Advanced","Hold body horizontal on pole"
"Planche","Advanced pushing hold","Bodyweight","Shoulders","Triceps","Core","None","Advanced","Hold body horizontal on hands"
